Index,Start time in milliseconds,End time in milliseconds,Script,"Label_(0:junior,1:senior,2:none)"
309,1350210,1353560,저글링 거다 이렇게 대충 청해 조금씩 드리겠습니다,0
311,1356440,1359399,그렇죠 나 풀 좀 빌릴 수 있을까요,0
312,1359409,1362250,아 그럼 제 책상 있을까요 고맙습니다,0
313,1362260,1365700,무엇인가 인턴 김석호 입니다,0
314,1365710,1373390,불 좀 빌겠습니다 아 여깄다,0
315,1373410,1382240,또 그래 3 누가 빨리 뭐야 부산 답게 부르세요,0
317,1384679,1387930,부르셨습니까 예,0
325,1415059,1417270,자자,1
335,1440370,1448970,porto 아 아 아 넌 넌 죽었어,1
337,1450110,1453360,속도 다시 많죠,0
338,1453380,1460290,칩의 습니다 아,0
339,1460310,1462400,인턴 김석호 입니더,0
340,1462410,1471159,풀 좀비 되겟습니다,0
343,1476370,1479140,나타납니다,0
344,1479150,1482980,우리 소코 그놈이 좀 느려 타도 그렇지,1
351,1506530,1512250,다 평가 받는 거잖아 실수는 뭐 젠 들여 그렇지 칠수 안에,1
357,1537080,1539049,중보 하는 거야,1
359,1543720,1547730,죄송합니다 장 그래서 지금 뭐 하는 거냐고 오버,0
360,1547740,1549390,예,0
361,1549400,1553380,어 아직 안 끝났어 예 좀 자 아직 안 끝났는데,1
362,1553390,1558330,머치 정예 한잔 풀어 줘 예 같죠,0
363,1558340,1562890,아직 페트라는 mpk 꺼냈어요 아냐 컴퓨터 갈 거라서 비율 저게 된다니까,1
364,1562900,1566789,제가 뭐 쉽게 부정기 산으로 보내야 된다고 말씀 드렸잖아요 2011도,0
365,1566799,1569990,이랬다 좋대요,0
368,1574119,1579149,아 아야 우리 오버 워터 컨텐츠 합사 아주 계약한다 잘못 2차 꿈 치주병,1
369,1579159,1582830,우리가 뭐가 되냐 오 어 어,1
370,1582840,1585590,아 그걸 그러라고 해줍시다,1
371,1585600,1592649,예 시급은 티코를 바로 시대로 그냥 걸 거야 해 줘 그 나라와,1
372,1592659,1597419,어 하아악 해줄 싸 난 해주면 내일 아침 출근길에 내걸고 먼저 볼 거예요,0
373,1597429,1601250,예 아,0
381,1625530,1628100,내가 그런게 아니라 건마,0
382,1628110,1631730,5 오해 받으면 안된거 얌마,0
383,1631740,1638720,the 아군 제 1부 쳐 버리는 말하는 거에요 왜 한번 끝났잖아,1
386,1647559,1652300,죄송해요 봤네요 장 그 식,0
387,1652320,1661300,4 5 네가 이 정신 똑바로 질문으로,1
394,1687100,1692630,난 오늘 한잔 하시러 갑니다 정씨 좋은것이다,1
395,1692650,1693840,합시다,1
398,1703870,1706510,마음이 바뀐 이유는요,0
401,1714789,1721789,한성 10시 가 가진 경험과 능력이 우리 pt 준비에 도움이 될 것 같아,1
402,1721809,1723620,자네 c,1
403,1723630,1726580,사람이 뭐라고 생각해요,0
404,1726590,1729220,거 첫눈 같아요 간단해,1
407,1738380,1744050,결국에 삶의 질 결정이 있는 거 아니겠어요,0
408,1744070,1747900,우리가 이 옥상에 올라온 지 5분이 신었어요,0
409,1747910,1750780,잊지 마십시오 2 5분이,1
411,1757660,1763749,최고의 5분 이었다는 사실 말입니다 아,0
412,1763769,1766100,전적으로 잠들었을 때 담아 둘께요,0
413,1766110,1769549,진행한 별로 구해주세요,0
414,1769559,1772220,아이템을 제 맘대로 좀 알아볼까요,0
416,1773860,1777120,물론 민주적인 합의가 좀 필요하겠죠,0
417,1777130,1779120,저도 할 거라구요,0
419,1782570,1786190,첩보 갈았어요 당신한테,1
420,1786200,1790790,안목 있어요 1,0
422,1791890,1795930,bt 로 장르시 마음대로 얹어서 얼마든지 본인이 돋보일 수 있게요,0
423,1795940,1799370,잘 봅시다,1
427,1811880,1817060,빨리 제출 합시다 일단 아니고 노리고 당시 난다 밖에 안남았어 좀 이상해,1
428,1817070,1818560,치대 모르겠소,1
429,1818570,1824560,안녕 씨하고 나무 단 한다고 했잖아 나나 되니까 감당하는 거야 그럼,1
430,1824570,1828860,제출 해요,0
433,1836750,1839409,이 전무님 깐 거 아니에요,0
434,1839419,1843399,조금 바꾸어서 다시 한번 해보려고 아 그러니까 이거 저번에 전원이 하지,1
435,1843409,1848470,말라면서 하는거 아니에요,0
437,1851190,1856220,아 아니 왜 전이니까 한 걸 그리고 귀여운 괜찮아요,0
438,1856230,1863350,어 그니까 정복했던 거 아냐 자칭 가본 마음의 달 뒤 그 물이 왜 에,1
439,1863370,1870650,어떤 봐서 간 놈 아니야 아침부터,1
440,1870660,1875690,말을 하고 머리로 방법입니다 예 우리시 빨리 선배가 무쌍 상승했는데 이,0
442,1883800,1887720,광저우 봉사단은 선배도 있고 자료는 빵빵 할 거야,1
443,1887730,1891620,영희 씨는 숟가락만 얹으면 되요,1
445,1893820,1897680,스카라 걷는거 저도 참 좋아하는데요 사랑받은 올리기 싫어요,0
447,1899500,1903360,4 자 쉽게 그건 좀 쉽게 갑시다,1
451,1918880,1921690,의미한다 고 했죠 제가 지금 제가 한다고 되어 있구요,0
452,1921700,1926100,1장 여 씨가 다시 하라면 무턱대고 해야 합니까,1
453,1926110,1928710,듯이 저는 회사에 생각해 봤습니다,0
454,1928720,1932010,회사가 원하는 인재상에 경험적으로 가장 가까운 사람이구요,0
455,1932020,1936540,무가 누구의 말을 들어 겠습니까 그때가 잘못인가 자랐다는 1 한게,1
456,1936550,1937650,아닙니다,0
457,1937660,1943170,정확한 좋은 보물들이 있는데요 그럼 어떤 아이템이 해야죠 고 이션 세어,0
461,1949390,1952440,사심 손 투자 왔어요 뭐 필요함 좋아할까요 안에,0
462,1952450,1956690,됐습니다 그래요 준비된 부실로 주세요,1
467,1977010,1984620,5 atm 지금 무슨 일인 잘 나게 났었어요,0
468,1984630,1988130,김대리님 이진행 하시던 그 3번 이들이 수출 거에요,0
471,1995130,1998240,김대리님 이 듣고도 이 놓지 않나 봐요,0
472,1998250,2004499,하뉴 fta 정식 파리 전이니까 크게 고려하지 않으신 거죠,0
474,2007290,2010850,제가 알기론 그것 4조 끝났을 때 아침에 패 뜨는데,0
475,2010860,2016040,그러니까요 근데 마무 가는가 봐요 원산지 증명서 첨부 에서 계획된 날짜는,0
479,2023960,2028960,아이템은 어때요 아 회사의 라는 이건 말했어요 음 분량이 뭐,0
480,2028970,2034440,어떤가요 뭐 다시 음,0
481,2034450,2037570,두번째 아이템으로 하죠,1
482,2037580,2041890,확실합니까 그래서 좋습니다 근데 다만 그런 됐군요,1
483,2041900,2043510,예,0
484,2043520,2047590,아이템 선정은 함께 했습니다 경험하는 1 성씨가,0
485,2047600,2050800,저와 함께 했다는 이유로 손해보는 일은 없어야죠,0
486,2050810,2053619,이 아이템의 동해 하셨으니 됐습니다,0
487,2053629,2056710,4 이제 pt 디테일을 제가 만듭니다,0
489,2058970,2062410,과정은 공유하지만 지시는 받지 않겠습니다,0
491,2066260,2069190,바둑은 기본적으로 싸움이고 전쟁이다,1
494,2076970,2078870,승자와 패자가 분명한 세계다,1
498,2085330,2090079,왜 그 세계에서 10년을 넘게 살았었다,1
499,2090089,2095369,패잔병 이지만 승부사 로플러 신 사람이다,1
500,2095379,2100279,산수를 넘기지 않는 선수다 으,1
501,2100299,2104529,김대리 일 잘하는 친구입니다 조정도 아시지 않습니까,0
502,2104549,2108750,그리고 의원인 아모제 체계에도 봅니다,0
505,2118089,2121020,즉 그래도 애좀 써 65 부장님,0
506,2121030,2127450,부탁드리겠습니다 예이예 개,0
510,2134980,2139610,러시아가 된다,1
511,2139630,2145050,5 가장 아 되지 말고 전부 한번 찾아봐,1
512,2145060,2149770,어 뭐가 뭐가 뭐야,1
513,2149780,2152849,왜지 늦게 가면서 돌아가,1
514,2152859,2157380,진기의 위원은 그 전부 말 한마디면 없어질 되는 거 잘 알잖아,1
515,2157390,2163470,야고 거저 전무 하구 그래 쥬 서랍 모금 감정 않은데 이번만은 제가,0
525,2196880,2202329,전무님 안계신 되요 방금 그룹 번 사회 가셨습니다,0
529,2210069,2216539,해봅시다 발표 싶은 엄격하게 적용된다 많이 길이 확인이라도 하셔서,1
531,2220329,2224760,원고 대로 이미 다웠다 구요 지금 와서 꽃이 맙니다,0
532,2224770,2229589,앞니가 다 옮겨 버릴 거에요 이미 파일 제출에 슬라이드 수정도 못해야,0
533,2229599,2232500,발표는 이거라도 멋대로 말하지 마,1
534,2232510,2234760,맑은숲 합시다,1
536,2236190,2240530,언제쯤 미리 발견되면 좋은거 아닙니까 우리 과장님이,0
539,2246510,2250370,영업 3팀 끗발이 그거 밖에 안되니까 그런거랑 거 그게 다 당신의 그,1
543,2259200,2265730,크게 한 장을 아는 사람 말 짓이 아 난 현장 모르는 사람 상사로 않죠,0
546,2274750,2281709,미간에 상사에 대해 몰라라 야 너나 나나 인턴이 아스피린 야,1
547,2281729,2289240,내가 뭐가 성사 또 지지 얻었어 자본 대 2,1
555,2321600,2328220,팔라 봅니다 으,0
7,22420,24900,날 쳤다고 하는데,1
8,24910,29890,뭐 할 말 있어,1
9,29910,33250,너무 잡채 밀로 부탁드릴 마시고 싶어,1
10,33260,37360,부터 머신 모터 라,1
12,40020,47470,침내 위원회 수 있 거야 됐음 제거해주시고 오는거,1
17,76040,80310,악마 주시고 주셨어요,0
19,87520,92760,구 거야 부 숨진 좀 주자 지금 어떻게 한거죠 아쉽구요,0
21,96479,104320,잠이 저놈한테 아쉬운 소리 하시는거 많아 싫어하시면 잘 아니까 거죠,0
22,104340,107280,박 성 님,0
23,107300,109930,물었습니다,0
27,127810,132309,아 딱 반짝 게 있지 아,1
28,132329,141969,아 정말 아십시오 잘,0
29,141989,146300,그렇지 4번 no.2 테스트,1
30,146310,153000,아 그렇지 불신앙 파키스탄 2,1
38,179700,189550,그럼 첫번째 팀 장 비서 구현을 좋은 나와주세요,0
39,189570,192620,안녕하십니까 저희는 세계무대,0
40,192630,197590,우리의 발자국을 않게 따뜻하구 로 몬 인터내셔널이 좋아,1
41,197600,202060,아 자 기 서 그러 작업입니다 5,0
46,215720,216910,효과가 없습니다,0
47,216920,222250,왜 하필이면 태양에너지 냐 에 대해서 의문점이 많으실 거라고 생각되는데요,0
48,222260,225010,이 그래프를 보시면 어학에 설명이 될 수 있습니다,0
49,225020,230559,원부자재 확보는 어떻게 할 수 있지 엄호 잉곳 웨이퍼 가공 사와의 애니를,1
51,235310,237040,것으로 예상됩니다,0
52,237050,240220,그럼 대부분 그 개발 적은 어쩌지,1
55,250190,254860,다각화 하여 변하는 환경에 유연하게 된다는 것이 중요하다고 생각합니다,0
56,254870,258389,이렇게 ibm 서의 장 돌의 1 성별 주 말하세요,0
58,259700,262879,창극 의식화 쟁 팀이죠 예,0
62,280349,285080,추가로 수 없이 품지 않은 음식 그때 전문가 허세를 부려 50조 꼭 한번,1
63,285090,286460,찾아 봤지,1
69,308639,313279,반영에 끝이 뭔 말이야 어 왠만한 대리급 싸운 이상이 볼 때 어 2000,1
70,313289,315740,피지 면접을 시작하겠습니다,0
74,328229,329330,리더쉽 않았다,1
75,329340,333810,제가 본 풍경 에 가서 600 물에서 어찌 되겠다,1
76,333830,336589,350g 파 계십니다 사지 않겠습니다,0
78,343639,347590,제대로 가 피한 명물이 나에게 좋아 하시잖아요,0
80,350990,351940,생각합니다,0
81,351950,355900,외국 명품 구제 김종인 씨는 실력이 있습니다,0
82,355910,360370,성실하고 요 하지만 자신감이 부족합니다,0
83,360380,365620,그건 자신만의 오리지날 구축하지 못해 발생하는 불안감 입니다,0
84,365630,369909,규정식 자신이 브랜드입니다 이제 남단 하지 마시고,0
86,373940,376090,거울 사십시오,0
87,376100,380140,다음은 장그래 한성 늦어 준비해 주십시오,0
88,380150,389000,그래 꺼내 봐라,1
89,389020,393500,니가 뭘 발등,1
90,393520,397930,뭘 들고 있는거죠,0
91,397950,400850,1 성열 씨에게 이 신뢰를 팔겠습니다,0
92,400860,405540,우리회사 모브 정리 메시야 입니다,0
93,405560,407770,될 거 아냐,1
95,410200,413490,아 아니네,1
96,413510,416200,그분의 구두를 해주십시오,0
97,416210,421860,진짜 실제로 게 합니다,0
99,426830,427930,할 겁니다,0
100,427940,431500,다시모 과장님의 2 신뢰 를 받으십시오,0
101,431510,434380,아 저작 싶다,1
102,434390,438869,빤히 달아 잇죠,0
103,438889,442320,호치 킷 어렵겠지,1
104,442340,446530,땀냄새 들어야 있습니다,0
105,446550,449180,사무실 등 현장 이라는 뜻입니다,0
108,453740,459300,사무 현장에 전투화를 알겠습니다,0
109,459320,462700,탑 보안 체형과 잘 않다,1
110,462710,465700,사무실에 현장이라는 말장난이 지나지 군요,0
111,465710,471040,현장에 뭔줄 아십니까 사무실 그 적인 몇 번으로 식기 쉽게 잘려나가는,0
112,471050,477850,구주 좀 세서 그 많은 사람들 현장 구두 자러갑니다,0
113,477870,481980,그들의 전투를 소개 될까요,0
115,488080,494339,전투는 그런겁니다 전 당신 물건 사지 않겠습니다,0
117,496969,501399,처음 만났을 때로 대 한 장을 강조했습니다 아니,0
118,501409,503830,8장 만을 강조해 줘,1
120,507430,513340,기계가 바쁘게 돌아가고 힘을 들의 제품을 만들고 웃기는 것이 겁니다,0
125,529400,534250,문장 1 때문에 법적 해석을 검토하고 결과를 지켜 합니다 한해 볼락,0
126,534260,538210,행 중 2 3 7 거야 서류만 넘기면 되는 것이 아닙니다,0
128,543560,546670,자기 자신이 초라해 보이기까지 하시오,1
130,550370,555110,왜 만들어져야 하는지에 과정을 거친 이후에 존재하는 것입니다,0
131,555120,559260,그 물건들은 사무실을 거치지 않고서는 존재할 수 없는 것입니다,0
137,570499,574900,에 역시 합니다 2,0
146,605899,610410,어 용기 안에 디스크에 맡겨 주십니다,0
150,626400,633350,으 상대 c 가지고 3부 c 복사 하시면 안 내 가야겠다,1
151,633370,640270,아 이 이참 습관이란 긴 참 이렇게 1 이렇게 무섭네요,0
152,640290,645800,쉴 거야 는 무슨 어이구 언제부터 잘못도 사람이 있었다고,1
153,645810,648319,아 아니 우리가 좀 2심 확인했어요,0
154,648329,652160,술이라도 한잔 자주 보내는 건데,1
155,652170,656220,가장 이제 좀 마음이 좀 그러시죠,0
156,656230,659790,저자 리안 여긴 씨가 오면 말이야,1
157,659800,664530,책상 위치를 배려를 좀 해줘야 겠어요,0
159,669570,674270,앞에 온전한 야 어 나 이번에도 추워 난 해주라,1
160,674280,680700,배 친구왈 담아야 아시죠,0
161,680720,684640,아야 아파 봐 화장실이 앞서는 호텔 샤토,1
162,684650,689500,제가 물론 소리가 들려 뭐 아끼꼬 우리 사람 선교 싸움을 또 화장실,0
163,689510,694210,화장실 앞에 치겠다 로비 배려해 줘 니가 니가 이거 이거 없으니까 자주,1
164,694220,695530,찾아뵙고,0
165,695540,700030,초대 인데요 그럼 그저 아냐 이거 기도 과정에 4 사태처럼 일단 거기 안,0
167,703690,707850,또 제가 다음에 저 아 아이 옷 이렇게 3,0
168,707860,710670,예 아,0
178,744399,748970,그 취지 겠어요 합격입니다,0
179,748980,750489,그래 그,1
180,750499,754100,음 잘 된다 으,1
185,766579,775600,예 안양의 씩 300 p 씨 역시 예 역시 될만한 3일은 되는군요,0
186,775610,778590,직감이 5시에 각 1부 3 하십시오,0
188,781400,791080,우리 셋이 단가 보네요 작년 2 것 같다더니 오랜 좀더 썼네,1
190,797350,800550,안녕하세요,0
193,807990,810920,장그래 씰 다시 보네요,0
197,822110,838069,자 개정 때 비싸다 확인해 보시고요,0
198,838089,841669,다 썼지,1
199,841689,846200,어디에요 아,0
205,864540,868670,그냥 낮이고 너무 놀라 여기 한번 박태일 쑥이 진짜 재미있어요,0
206,868680,871760,문제될 것은 알스 심지어 바로 수정할게,1
207,871770,874270,안녕하십니까,0
208,874290,880020,신입사원 장 글입니다,0
210,883790,885920,좋았습니다,0
212,890480,895509,그러니까 왜 또 보자구,1
215,898819,902140,감사합니다 그럼 어머 보겠습니다,0
219,913400,916710,어 헤드 이놈의 산은 눈을 못 나온 밤이었습니다,0
221,917960,918600,심습니다,0
223,920829,924660,환율변동 해야겠지 자매 끼는 선임의 블루투스헤드셋 보다도 못한 대접을,1
226,930160,936280,이유를 알 수 없는 선배들의 냉대를 몽키 견뎌내고 있었다,1
227,936300,942160,특히 줄 알았지,1
232,953710,957510,나 이럴 줄 알았어 5 상식,1
233,957520,961650,너 이자식 차를 걸렸다 예,1
234,961660,965820,오리지날 위해 어딨어 대체 너 당장 전 해봐,1
235,965830,973749,예 물론 예,0
236,973769,977119,아 어 저거 o 가장 님,0
237,977129,983730,그 투르크메니스탄 꽃 말이에요 왜 bl 드래프트 만 넣었어요,0
238,983740,987569,어 정 식비를 어째 써요,0
239,987579,991110,4 예 앞이 안 하다가 한답니까,1
240,991120,994889,전과정 뭐여 신입이 했어,1
241,994899,997950,야,1
242,997970,1004350,으 으 쉽게 오빠로 시키고 에 다신 그러지 마세요,0
243,1004360,1008670,뭐래 에 뭐 전했다고 하지 말입니다,0
252,1047049,1053489,뭐하러 가 지금 아니 왜 pl 둘의 부천 넣어가지고 짧아 br 만약 부다,1
253,1053499,1054899,점수 짜라,1
254,1054909,1058950,아니 이제 우리 받은 기억이 없는데,1
255,1058960,1062219,야 너 를 모르냐고 하고 잘 모르냐 어,1
256,1062229,1066000,애들 앞에서 임마 챙피한 따로,1
261,1080580,1089050,어 난 그냥 혼자 쪽팔리고 끝나지 누구처럼 장내는 않지 같죠 사장님,0
262,1089070,1094549,너 지금 오를수 아직까지는 도시 뭐야 이거 안 너 까지 놓으세요 5 왜,1
263,1094559,1099440,cc 게 쉬세요 5 첨부 답함,0
268,1131299,1137799,아니 다시 사람들이 다 지들 마음대로 생각하고 떠드는데 왜 아니 왜 합의,1
269,1137809,1141600,한 마디를 지도안 하세요,0
